epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5402,3.92914,5.48797,2.37647,0,0,0,0,3.20776,5.20435,1.9825,0.00028886,0.00028886,0.00028886
2,61.1198,3.04529,3.6119,1.74589,0.01438,0.44355,0.09674,0.02561,2.70163,3.77596,1.75741,0.000577171,0.000577171,0.000577171
3,93.1999,2.72082,2.84026,1.61406,0.18829,0.29743,0.16011,0.04108,2.58358,2.9903,1.67312,0.000853604,0.000853604,0.000853604
4,124.759,2.62363,2.42806,1.59379,0.52139,0.36164,0.26865,0.07622,2.45414,2.71571,1.619,0.00104501,0.00104501,0.00104501
5,156.682,2.58909,2.30368,1.5595,0.51469,0.3871,0.31637,0.08895,2.51455,2.59233,1.65845,0.00102301,0.00102301,0.00102301
6,195.895,2.52097,2.09986,1.50689,0.53308,0.42204,0.29073,0.08222,2.45039,2.45953,1.57099,0.00100101,0.00100101,0.00100101
7,245.129,2.52676,2.00844,1.54734,0.29269,0.47622,0.28938,0.08008,2.54054,2.43265,1.60295,0.000979013,0.000979013,0.000979013
8,294.312,2.46448,2.1164,1.53931,0.57961,0.43548,0.37633,0.10641,2.41699,2.2037,1.56757,0.000957015,0.000957015,0.000957015
9,335.909,2.37517,1.94897,1.45977,0.58548,0.51613,0.40567,0.12898,2.34472,2.01184,1.52784,0.000935018,0.000935018,0.000935018
10,373.555,2.39742,1.88766,1.45718,0.67951,0.5213,0.47194,0.14604,2.32103,1.93823,1.49482,0.00091302,0.00091302,0.00091302
11,411.084,2.34934,1.86766,1.4501,0.44991,0.54839,0.51464,0.1586,2.34445,1.96123,1.51438,0.000891022,0.000891022,0.000891022
12,448.887,2.31901,1.79764,1.43483,0.66798,0.50691,0.45299,0.13268,2.40398,1.91283,1.52332,0.000869024,0.000869024,0.000869024
13,486.463,2.35079,1.7067,1.43728,0.75311,0.51629,0.53203,0.15986,2.33438,1.79633,1.51371,0.000847026,0.000847026,0.000847026
14,524.104,2.30946,1.71616,1.4161,0.68558,0.50708,0.46806,0.13644,2.40551,1.87053,1.53899,0.000825029,0.000825029,0.000825029
15,562.269,2.32672,1.62193,1.37939,0.64517,0.48871,0.43527,0.12419,2.38776,1.93313,1.53693,0.000803031,0.000803031,0.000803031
16,600.213,2.34282,1.63655,1.42564,0.4341,0.51487,0.48018,0.13073,2.39398,1.87723,1.54495,0.000781033,0.000781033,0.000781033
17,637.917,2.30086,1.5662,1.41184,0.59323,0.62335,0.59963,0.18039,2.35566,1.81994,1.50093,0.000759035,0.000759035,0.000759035
18,675.578,2.29878,1.566,1.41447,0.66834,0.63081,0.67403,0.2001,2.30026,1.69677,1.49637,0.000737037,0.000737037,0.000737037
19,721.078,2.27816,1.57156,1.41608,0.62036,0.64609,0.59819,0.18178,2.32114,1.81833,1.47848,0.00071504,0.00071504,0.00071504
20,769.861,2.28243,1.5477,1.4131,0.59393,0.61432,0.55964,0.16263,2.41167,1.74533,1.53212,0.000693042,0.000693042,0.000693042
21,818.286,2.24511,1.53884,1.35001,0.74357,0.66923,0.71732,0.21623,2.29457,1.63418,1.48246,0.000671044,0.000671044,0.000671044
22,866.836,2.21437,1.54064,1.39211,0.68704,0.65192,0.67028,0.19761,2.41253,1.5826,1.52381,0.000649046,0.000649046,0.000649046
23,914.803,2.25439,1.5344,1.40363,0.64791,0.64073,0.6535,0.18776,2.35098,1.64569,1.50569,0.000627048,0.000627048,0.000627048
24,962.652,2.23744,1.49849,1.34399,0.6666,0.70736,0.6953,0.21283,2.27789,1.58374,1.47367,0.000605051,0.000605051,0.000605051
25,1010.78,2.16733,1.41659,1.34093,0.73874,0.75755,0.75813,0.22155,2.28771,1.53345,1.5056,0.000583053,0.000583053,0.000583053
26,1058.69,2.19952,1.39615,1.35502,0.63352,0.60039,0.57742,0.16216,2.40239,1.71782,1.54403,0.000561055,0.000561055,0.000561055
27,1101.23,2.19798,1.40942,1.36122,0.71065,0.73379,0.69882,0.21918,2.36008,1.50419,1.53278,0.000539057,0.000539057,0.000539057
28,1145.23,2.23097,1.41091,1.41863,0.68479,0.67565,0.63355,0.18472,2.40278,1.64146,1.54826,0.000517059,0.000517059,0.000517059
29,1195.25,2.16913,1.37156,1.37373,0.76074,0.7479,0.7334,0.23158,2.33505,1.45996,1.50954,0.000495062,0.000495062,0.000495062
30,1244.09,2.17991,1.38814,1.34424,0.65212,0.68991,0.60164,0.17638,2.34443,1.62926,1.50866,0.000473064,0.000473064,0.000473064
31,1289.83,2.15118,1.32599,1.31708,0.69748,0.71549,0.65564,0.19206,2.34659,1.61092,1.50972,0.000451066,0.000451066,0.000451066
32,1333.81,2.13179,1.2737,1.32289,0.71521,0.70355,0.6924,0.20356,2.36314,1.59306,1.52624,0.000429068,0.000429068,0.000429068
33,1381.32,2.18703,1.32311,1.3349,0.73572,0.7079,0.70971,0.19876,2.36654,1.53937,1.53029,0.00040707,0.00040707,0.00040707
34,1427.93,2.11136,1.28581,1.35062,0.80133,0.77972,0.7732,0.24561,2.3516,1.4294,1.51631,0.000385073,0.000385073,0.000385073
35,1474.96,2.13698,1.2733,1.35618,0.78881,0.75195,0.76647,0.24636,2.34006,1.42357,1.51313,0.000363075,0.000363075,0.000363075
36,1507.57,2.12107,1.2705,1.32281,0.79856,0.74584,0.77118,0.23835,2.39916,1.38158,1.53981,0.000341077,0.000341077,0.000341077
37,1540.16,2.11849,1.28568,1.32906,0.78241,0.7309,0.75272,0.22581,2.37687,1.41489,1.53219,0.000319079,0.000319079,0.000319079
38,1572.62,2.12313,1.25432,1.34047,0.82676,0.75556,0.80059,0.23605,2.36178,1.39104,1.52284,0.000297081,0.000297081,0.000297081
39,1605.31,2.11304,1.23409,1.3399,0.7673,0.72684,0.70862,0.20418,2.42408,1.47214,1.56561,0.000275084,0.000275084,0.000275084
40,1638.09,2.1105,1.2123,1.30351,0.79305,0.76493,0.75645,0.21827,2.3955,1.43151,1.54972,0.000253086,0.000253086,0.000253086
41,1670.18,2.04644,1.22404,1.38606,0.79937,0.7565,0.76861,0.22408,2.36481,1.39492,1.52333,0.000231088,0.000231088,0.000231088
42,1701.95,2.05994,1.2232,1.37809,0.7693,0.74411,0.72463,0.21446,2.38315,1.45565,1.54056,0.00020909,0.00020909,0.00020909
43,1733.76,2.03154,1.17684,1.39701,0.7641,0.74316,0.71416,0.21294,2.42107,1.44013,1.55889,0.000187092,0.000187092,0.000187092
44,1765.63,2.02582,1.17442,1.41445,0.77085,0.74199,0.73793,0.2242,2.3999,1.43967,1.54293,0.000165095,0.000165095,0.000165095
45,1797.37,2.01704,1.16133,1.37772,0.78376,0.77099,0.75598,0.23033,2.37742,1.41175,1.52965,0.000143097,0.000143097,0.000143097
46,1829.32,2.00912,1.14224,1.392,0.77766,0.73749,0.75603,0.23696,2.3725,1.38198,1.52779,0.000121099,0.000121099,0.000121099
47,1862.29,2.00467,1.1375,1.37255,0.73927,0.72185,0.71524,0.212,2.40638,1.43502,1.55494,9.91012e-05,9.91012e-05,9.91012e-05
48,1893.83,1.97946,1.12254,1.3871,0.76384,0.74764,0.73214,0.21865,2.40326,1.41732,1.55363,7.71034e-05,7.71034e-05,7.71034e-05
49,1931.4,1.97091,1.11405,1.37944,0.78023,0.74975,0.74658,0.22116,2.40874,1.4067,1.55146,5.51056e-05,5.51056e-05,5.51056e-05
50,1961.3,1.97252,1.12439,1.36574,0.76713,0.73622,0.7229,0.21628,2.42777,1.42454,1.56325,3.31078e-05,3.31078e-05,3.31078e-05
